product_id;total_vendido
60;1577
59;1496
31;1397
56;1263
16;1158
75;1155
24;1125
40;1103
62;1083
2;1057
71;1057
21;1016
76;981
41;981
17;978
55;903
13;891
51;886
35;883
1;828
70;817
72;806
36;805
68;799
39;793
77;791
7;763
54;755
33;755
26;753
29;746
65;745
10;742
64;740
19;723
53;722
69;714
11;706
42;697
28;640
38;623
30;612
61;603
44;601
23;580
43;580
46;548
18;539
58;534
49;520
45;508
34;506
52;500
47;485
4;453
63;445
57;434
14;404
8;372
27;365
22;348
12;344
3;328
25;318
20;313
6;301
5;298
74;297
32;297
73;293
66;239
50;235
67;184
48;138
37;125
15;122
9;95
